dataset,algorithm,n_samples,n_clusters,ari,nmi,purity,silhouette,calinski_harabasz,davies_bouldin,runtime_seconds,parameters,k,theta,theta_percentile
flame,ROCK,240,48,0.4590461504633088,0.4870862629107881,1.0,-0.417419698940222,8.70082279646527,1.0563695338434804,0.043174499995075166,"{""k"": 2, ""theta"": 0.21542595142207083, ""theta_percentile"": 1}",2,0.21542595142207083,1
flame,ROCK,240,7,0.01780561994807411,0.05092824945543788,0.6541666666666667,-0.42739675934870675,1.6945042884822128,1.214705653662706,0.05034629997680895,"{""k"": 2, ""theta"": 0.28317013848275757, ""theta_percentile"": 2}",2,0.28317013848275757,2
flame,ROCK,240,3,0.01268080542351723,0.02403396158810289,0.6458333333333334,0.26742696462645815,3.4432618205568675,0.5103584680227872,0.09559089998947456,"{""k"": 2, ""theta"": 0.3463160961790568, ""theta_percentile"": 3}",2,0.3463160961790568,3
flame,ROCK,240,3,0.01268080542351723,0.02403396158810289,0.6458333333333334,0.26742696462645815,3.4432618205568675,0.5103584680227872,0.17572859997744672,"{""k"": 2, ""theta"": 0.4431747398260654, ""theta_percentile"": 5}",2,0.4431747398260654,5
flame,ROCK,240,3,0.01268080542351723,0.02403396158810289,0.6458333333333334,0.26742696462645815,3.4432618205568675,0.5103584680227872,0.18502460001036525,"{""k"": 2, ""theta"": 0.5312558169839323, ""theta_percentile"": 7}",2,0.5312558169839323,7
flame,ROCK,240,3,0.01268080542351723,0.02403396158810289,0.6458333333333334,0.26742696462645815,3.4432618205568675,0.5103584680227872,0.20188239999697544,"{""k"": 2, ""theta"": 0.6452999136162997, ""theta_percentile"": 10}",2,0.6452999136162997,10
jain,ROCK,373,78,0.22618907231610538,0.3493810294452047,1.0,-0.11909126638355774,36.566541851976645,0.8737464923676961,0.1652538999915123,"{""k"": 2, ""theta"": 0.11406024357421186, ""theta_percentile"": 1}",2,0.11406024357421186,1
jain,ROCK,373,35,0.871185242870046,0.5944325161213374,1.0,0.03766044775920438,14.340414452752476,0.6379380867399447,0.40545200000633486,"{""k"": 2, ""theta"": 0.16745337803083446, ""theta_percentile"": 2}",2,0.16745337803083446,2
jain,ROCK,373,21,0.9004940417680016,0.7040147709637941,1.0,0.018162253205800657,23.28543556842808,0.7722448955540357,0.1907366999948863,"{""k"": 2, ""theta"": 0.21107958216865785, ""theta_percentile"": 3}",2,0.21107958216865785,3
jain,ROCK,373,5,0.9382350864023407,0.8462290244702023,1.0,0.10609937603739274,109.64606980240166,0.8227438505172721,0.2036822999943979,"{""k"": 2, ""theta"": 0.2871717837678156, ""theta_percentile"": 5}",2,0.2871717837678156,5
jain,ROCK,373,2,1.0,1.0,1.0,0.45112370157568393,351.7417770296621,0.8096925059289812,0.21354060000157915,"{""k"": 2, ""theta"": 0.3557016268508894, ""theta_percentile"": 7}",2,0.3557016268508894,7
jain,ROCK,373,2,1.0,1.0,1.0,0.45112370157568393,351.7417770296621,0.8096925059289812,0.3265671999834012,"{""k"": 2, ""theta"": 0.45943114185999673, ""theta_percentile"": 10}",2,0.45943114185999673,10
spiral,ROCK,1000,2,1.0,1.0,1.0,0.040806146026651925,42.40329230404252,4.5173364284448425,3.6603529999847524,"{""k"": 2, ""theta"": 0.1207736478546804, ""theta_percentile"": 1}",2,0.1207736478546804,1
spiral,ROCK,1000,2,1.0,1.0,1.0,0.040806146026651925,42.40329230404252,4.5173364284448425,3.4844750000047497,"{""k"": 2, ""theta"": 0.23398966797495327, ""theta_percentile"": 2}",2,0.23398966797495327,2
spiral,ROCK,1000,2,1.0,1.0,1.0,0.040806146026651925,42.40329230404252,4.5173364284448425,3.649465299997246,"{""k"": 2, ""theta"": 0.34848269056136116, ""theta_percentile"": 3}",2,0.34848269056136116,3
spiral,ROCK,1000,2,0.2867357384192999,0.3703417126918279,0.768,0.136096978938102,35.692130558988936,4.78674961833728,4.62443070000154,"{""k"": 2, ""theta"": 0.5475380333305265, ""theta_percentile"": 5}",2,0.5475380333305265,5
spiral,ROCK,1000,2,0.05287592785571142,0.03918182468289638,0.616,0.3356319380829053,488.8990913919503,1.269193585584725,5.471677599998657,"{""k"": 2, ""theta"": 0.5751766690464996, ""theta_percentile"": 7}",2,0.5751766690464996,7
spiral,ROCK,1000,2,0.10933244088176353,0.08103894149370765,0.666,0.34859629407400167,567.1286807675464,1.1968692225694773,5.847893900005147,"{""k"": 2, ""theta"": 0.6582830340663155, ""theta_percentile"": 10}",2,0.6582830340663155,10
